ID,Density_first_sen_sum,Coverage_first_sen_sum,Density_first_sen_title_sum,Coverage_first_sen_title_sum,Comp,Comp_title
5708,0.258064516,0.290322581,0.236842105,0.263157895,0.868686869,0.797979798
5709,0.615384615,0.307692308,1.35,0.4,0.849557522,0.778761062
5710,3.25,0.625,2.25,0.5,0.898916968,0.866425993
5711,0.857142857,0.321428571,0.72972973,0.324324324,0.830601093,0.786885246
5712,0.677419355,0.483870968,0.871794872,0.538461538,0.701030928,0.618556701
5713,0.571428571,0.321428571,0.472222222,0.333333333,0.639534884,0.534883721
5714,0.193548387,0.193548387,0.2,0.2,0.899328859,0.875838926
5715,1.9,0.366666667,1.621621622,0.432432432,0.866197183,0.809859155
5716,1.368421053,0.473684211,1.037037037,0.481481481,0.698412698,0.571428571
5717,2.722222222,0.388888889,2.576923077,0.346153846,0.818181818,0.738636364
5718,26.875,0.75,18.69565217,0.739130435,0.798507463,0.731343284
5719,1.230769231,0.423076923,1.428571429,0.4,0.900584795,0.847953216
5720,0.705882353,0.411764706,0.5,0.384615385,0.506329114,0.392405063
5721,0.368421053,0.236842105,0.404255319,0.29787234,0.798165138,0.71559633
5722,1.272727273,0.590909091,0.903225806,0.548387097,0.765100671,0.697986577
5723,1.228571429,0.457142857,1.266666667,0.444444444,0.833333333,0.796296296
5724,0.384615385,0.269230769,0.40625,0.28125,0.547945205,0.410958904
5725,0.242424242,0.181818182,0.209302326,0.186046512,0.75,0.666666667
5726,1.076923077,0.307692308,0.942857143,0.342857143,0.737373737,0.656565657
5727,0.384615385,0.269230769,0.323529412,0.294117647,0.818181818,0.738636364
5728,26.875,0.75,18.69565217,0.739130435,-0.096774194,-0.290322581
5729,-1,0.235294118,-1,0.25,0.798165138,0.71559633
5730,1.272727273,0.590909091,0.903225806,0.548387097,0.506329114,0.392405063
5731,0.368421053,0.236842105,0.404255319,0.29787234,0.898809524,0.857142857
5732,0.705882353,0.411764706,0.625,0.333333333,0.741258741,0.685314685
5733,0.702702703,0.405405405,0.688888889,0.377777778,0.89261745,0.845637584
5734,0.125,0.125,0.130434783,0.130434783,0.819548872,0.766917293
5735,2.416666667,0.333333333,1.903225806,0.35483871,0.766233766,0.662337662
5736,1.333333333,0.555555556,1.615384615,0.538461538,0.517857143,0.428571429
5737,1.115384615,0.346153846,0.935483871,0.387096774,-0.5,-1
5738,-1,0,-1,0.028571429,0.28125,0.03125
5739,0.409090909,0.227272727,0.3,0.2,0.666666667,0.518518519
5740,0.333333333,0.222222222,1,0.307692308,0.527272727,0.381818182
5741,0.038461538,0.038461538,0.058823529,0.029411765,0.714285714,-0.142857143
5742,0,0,-1,0,0.700680272,0.639455782
5743,0.604651163,0.279069767,0.903846154,0.346153846,-0.846153846,-1.192307692
5744,-1,0.127659574,-1,0.125,-0.142857143,-0.571428571
5745,-1,0.0625,-1,0.090909091,0.747252747,0.659340659
5746,0.217391304,0.217391304,0.225806452,0.225806452,0.625,0.464285714
5747,0.619047619,0.428571429,1,0.533333333,0.043478261,-0.086956522
5748,0.772727273,0.363636364,-1,0.34,0.7,0.6125
5749,4.083333333,0.5,3.161290323,0.451612903,0.838028169,0.781690141
5750,2.434782609,0.434782609,1.870967742,0.483870968,0.67961165,0.611650485
5751,0.40625,0.28125,0.333333333,0.256410256,0.734693878,0.673469388
5752,0.435897436,0.282051282,0.375,0.291666667,0.712328767,0.602739726
5753,39.14285714,0.571428571,28.65517241,0.586206897,0.711711712,0.630630631
5754,0.875,0.34375,0.707317073,0.317073171,0.026315789,-0.157894737
5755,0.138888889,0.138888889,-1,0.139534884,#DIV/0!,#DIV/0!
5756,0,0,0,0,#DIV/0!,#DIV/0!
5757,0,0,0,0,0.545454545,0.363636364
5758,0.2,0.2,0.178571429,0.214285714,0.813333333,0.76
5759,0.214285714,0.142857143,0.222222222,0.166666667,0.845744681,0.808510638
5760,0.392857143,0.285714286,0.342857143,0.257142857,0.515151515,0.272727273
5761,0.4375,0.25,1.041666667,0.375,0.788888889,0.711111111
5762,0.315789474,0.157894737,0.269230769,0.153846154,0.911764706,0.843137255
5763,0.666666667,0.333333333,0.6875,0.3125,0.433333333,0.233333333
5764,1.1875,0.1875,0.863636364,0.181818182,0.88700565,0.836158192
5765,0.55,0.35,0.620689655,0.482758621,0.911764706,0.843137255
5766,0.666666667,0.333333333,0.6875,0.3125,0.581818182,0.454545455
5767,1.217391304,0.347826087,1.966666667,0.466666667,0.673913043,0.597826087
